id,proxy_address,ilk,collateral_amount,collateral_value_usd,debt_value
140,0x745F87B88C5BaeFfC24E44F9AC4591Af5FBd474D,BAT-A,6685.999556933801968335,1545.180181705174252197737737172669009841675,921.501849438900859815229519056045773367685852536
68,0x745F87B88C5BaeFfC24E44F9AC4591Af5FBd474D,ETH-A,11.004257490878333441,1912.484930627199960378539978712545608332795,897.37788585015052865402413426299238486716119299
54,0x745F87B88C5BaeFfC24E44F9AC4591Af5FBd474D,ETH-A,1.077,187.177214999999999999994615,123.188685933226823085958437315847488820368089465
53,0x745F87B88C5BaeFfC24E44F9AC4591Af5FBd474D,ETH-A,8.189076186423432324,1423.22049581946042074953905461906788283838,737.931799025936340810379416394569083264209730665
885,0xF81604edAB500ABAB4CA98e198E368C9Baed15f6,ETH-A,0.5,86.8974999999999999999975,45.01304546404310890265171916828873041199882235
517,0xF81604edAB500ABAB4CA98e198E368C9Baed15f6,ETH-A,0.1,17.3794999999999999999995,0
26,0xF81604edAB500ABAB4CA98e198E368C9Baed15f6,ETH-A,8.907307543210876544,1548.04551447233428896443546346228394561728,0
550,0xBd6D0314e6df0AE389390ac8Dfe8Aa281C350F9D,ETH-A,0.9,156.4154999999999999999955,100.338347310621786504556294212035549804106591945
727,0x30B50b828C1BC59028783cd5B5d8D05bb2B73A8a,ETH-A,0.5,86.8974999999999999999975,23.023957081847201638312683752676180952948459385
716,0xD841562407069f2c1452cF2643517e4360de37bc,ETH-A,3,521.384999999999999999985,250.390188113139915223530177977667195665061231765
77,0xEd4DF2AaE70653D9e7a7fc2d65b30245273EF924,ETH-A,0.2,34.758999999999999999999,20.193345480420331216282780095278621304947794625
124,0xEd4DF2AaE70653D9e7a7fc2d65b30245273EF924,ETH-A,0.22,38.2348999999999999999989,20.187422642532606957628517447605904495938720615
123,0xEd4DF2AaE70653D9e7a7fc2d65b30245273EF924,ETH-A,0.21,36.49694999999999999999895,20.187428065582052949294318709243274118073419145
122,0xEd4DF2AaE70653D9e7a7fc2d65b30245273EF924,ETH-A,0.2,34.758999999999999999999,20.18743318735231183109851629683754589990095094
80,0xEd4DF2AaE70653D9e7a7fc2d65b30245273EF924,ETH-A,0.25,43.44874999999999999999875,20.19320273253312525883346063546629615756060434
79,0xEd4DF2AaE70653D9e7a7fc2d65b30245273EF924,ETH-A,0.25,43.44874999999999999999875,20.19320524392284262283523017806649629037258772
50,0xEd4DF2AaE70653D9e7a7fc2d65b30245273EF924,BAT-A,1007.101744761195719683,232.748094539113935121890258726205978598415,81.927384964923155208895518068208538308440594436
519,0x596A14Eb28DA7F2ae72a1D46B2a85B7D76675002,ETH-A,0.4,69.517999999999999999998,22.079459551752055912626464657125138342685963595
489,0x596A14Eb28DA7F2ae72a1D46B2a85B7D76675002,ETH-A,0,0,0
166,0x5C8DA0C0027C5C1eD3ddFe27DbD98bD205D7A432,ETH-A,0,0,0
893,0xA09E61B1EAb18c5F5cA0bb52A54F6D195E66143e,ETH-A,0.8,139.035999999999999999996,90.305255547913177224898770806937327247957853775
892,0xA09E61B1EAb18c5F5cA0bb52A54F6D195E66143e,ETH-A,2,347.58999999999999999999,88.0066548783753252985835414886679557107961808
